State,Hourly,OccurrenceCount
AL,00:00,749
AL,01:00,730
AL,02:00,602
AL,03:00,527
AL,04:00,1521
AL,05:00,2166
AL,06:00,4762
AL,07:00,8205
AL,08:00,7063
AL,09:00,3688
AL,10:00,4101
AL,11:00,4055
AL,12:00,5223
AL,13:00,4621
AL,14:00,5642
AL,15:00,9124
AL,16:00,9184
AL,17:00,10100
AL,18:00,6151
AL,19:00,4439
AL,20:00,3235
AL,21:00,2555
AL,22:00,1741
AL,23:00,860
AR,00:00,507
AR,01:00,491
AR,02:00,449
AR,03:00,352
AR,04:00,407
AR,05:00,638
AR,06:00,1096
AR,07:00,1871
AR,08:00,1499
AR,09:00,944
AR,10:00,1071
AR,11:00,1004
AR,12:00,1159
AR,13:00,1260
AR,14:00,1257
AR,15:00,1476
AR,16:00,1480
AR,17:00,1402
AR,18:00,1017
AR,19:00,776
AR,20:00,705
AR,21:00,655
AR,22:00,632
AR,23:00,632
AZ,00:00,2201
AZ,01:00,1940
AZ,02:00,1821
AZ,03:00,2227
AZ,04:00,4009
AZ,05:00,5673
AZ,06:00,8978
AZ,07:00,11974
AZ,08:00,11987
AZ,09:00,7954
AZ,10:00,6491
AZ,11:00,6573
AZ,12:00,6944
AZ,13:00,8432
AZ,14:00,11222
AZ,15:00,12281
AZ,16:00,14412
AZ,17:00,13401
AZ,18:00,10481
AZ,19:00,7114
AZ,20:00,4766
AZ,21:00,4046
AZ,22:00,3215
AZ,23:00,2467
CA,00:00,36009
CA,01:00,32856
CA,02:00,32216
CA,03:00,27284
CA,04:00,35865
CA,05:00,58831
CA,06:00,80912
CA,07:00,97384
CA,08:00,95331
CA,09:00,77405
CA,10:00,73946
CA,11:00,79694
CA,12:00,82410
CA,13:00,95693
CA,14:00,111578
CA,15:00,121426
CA,16:00,117964
CA,17:00,122358
CA,18:00,98333
CA,19:00,70130
CA,20:00,57837
CA,21:00,50800
CA,22:00,45018
CA,23:00,40153
CO,00:00,772
CO,01:00,1139
CO,02:00,1197
CO,03:00,956
CO,04:00,1247
CO,05:00,2899
CO,06:00,7232
CO,07:00,11175
CO,08:00,10883
CO,09:00,6032
CO,10:00,2959
CO,11:00,3562
CO,12:00,3831
CO,13:00,4123
CO,14:00,4377
CO,15:00,5123
CO,16:00,5197
CO,17:00,5218
CO,18:00,4183
CO,19:00,2496
CO,20:00,1981
CO,21:00,1720
CO,22:00,1609
CO,23:00,974
CT,00:00,1298
CT,01:00,1138
CT,02:00,999
CT,03:00,760
CT,04:00,1127
CT,05:00,1682
CT,06:00,3358
