YearMonth,State,OccurrenceCount
2016-01,PA,7
2016-02,IN,90
2016-02,KY,41
2016-02,MI,10
2016-02,OH,770
2016-02,PA,42
2016-02,WV,32
2016-03,CA,4279
2016-03,CT,78
2016-03,DE,8
2016-03,IA,41
2016-03,IN,62
2016-03,KY,121
2016-03,MA,35
2016-03,MD,8
2016-03,ME,1
2016-03,MI,12
2016-03,MN,3
2016-03,MO,7
2016-03,NE,152
2016-03,NH,1
2016-03,NJ,166
2016-03,NY,271
2016-03,OH,921
2016-03,PA,103
2016-03,RI,27
2016-03,WV,34
2016-04,CA,14221
2016-04,CT,251
2016-04,DE,18
2016-04,IA,92
2016-04,IL,1
2016-04,IN,74
2016-04,KY,92
2016-04,MA,66
2016-04,MD,18
2016-04,ME,2
2016-04,MI,3
2016-04,MN,4
2016-04,MO,17
2016-04,NE,548
2016-04,NH,21
2016-04,NJ,521
2016-04,NV,3
2016-04,NY,737
2016-04,OH,994
2016-04,PA,282
2016-04,RI,88
2016-04,SD,1
2016-04,WI,2
2016-04,WV,32
2016-05,CA,13988
2016-05,CT,243
2016-05,DE,16
2016-05,IA,129
2016-05,IN,58
2016-05,KY,63
2016-05,MA,84
2016-05,MD,19
2016-05,MI,4
2016-05,MN,1
2016-05,MO,21
2016-05,NE,578
2016-05,NH,8
2016-05,NJ,513
2016-05,NY,801
2016-05,OH,791
2016-05,PA,195
2016-05,RI,81
2016-05,WI,4
2016-05,WV,13
2016-06,AL,18
2016-06,AR,6
2016-06,AZ,123
2016-06,CA,14649
2016-06,CO,63
2016-06,CT,365
2016-06,DC,33
2016-06,DE,37
2016-06,FL,1865
2016-06,GA,781
2016-06,IA,156
2016-06,ID,37
2016-06,IL,919
2016-06,IN,91
2016-06,KS,49
2016-06,KY,68
2016-06,LA,44
2016-06,MA,315
2016-06,MD,493
2016-06,ME,1
2016-06,MI,711
2016-06,MN,107
2016-06,MO,194
2016-06,MS,26
2016-06,MT,2
2016-06,NC,358
2016-06,NE,699
2016-06,NH,20
2016-06,NJ,636
2016-06,NM,6
2016-06,NV,65
2016-06,NY,1495
2016-06,OH,893
2016-06,OK,14
2016-06,OR,43
2016-06,PA,1078
2016-06,RI,110
2016-06,SC,179
2016-06,TN,178
2016-06,TX,2399
2016-06,UT,58
2016-06,VA,379
2016-06,WA,634
2016-06,WI,99
2016-06,WV,41
2016-06,WY,1
2016-07,AL,21
2016-07,AR,3
2016-07,AZ,416
2016-07,CA,12664
2016-07,CO,194
2016-07,CT,454
2016-07,DC,54
2016-07,DE,30
2016-07,FL,5000
2016-07,GA,1616
2016-07,IA,132
2016-07,ID,82
2016-07,IL,2195
