ID,Source,Severity,Start_Time,End_Time,Start_Lat,Start_Lng,End_Lat,End_Lng,Distance(mi),Description,Street,City,County,State,Zipcode,Country,Timezone,Airport_Code,Weather_Timestamp,Temperature(F),Wind_Chill(F),Humidity(%),Pressure(in),Visibility(mi),Wind_Direction,Wind_Speed(mph),Precipitation(in),Weather_Condition,Amenity,Bump,Crossing,Give_Way,Junction,No_Exit,Railway,Roundabout,Station,Stop,Traffic_Calming,Traffic_Signal,Turning_Loop,Sunrise_Sunset,Civil_Twilight,Nautical_Twilight,Astronomical_Twilight
A-3712157,Source1,2,2022-12-19 18:20:00.000000000,2022-12-19 20:35:23.000000000,37.7859,-122.390929,37.788135,-122.388541,0.202,Accident on I-80 E - James Lick Fwy N from Fremont St/Harrison St (I-80) to Treasure Island Rd (I-80).,I-80 E,San Francisco,San Francisco,CA,94105,US,US/Pacific,KOAK,2022-12-19 17:53:00,44.0,40.0,73.0,30.28,9.0,E,8.0,0.0,Mostly Cloudy,False,False,False,False,True,False,False,False,False,False,False,False,False,Night,Night,Night,Day
A-3713644,Source1,2,2022-11-13 10:52:00,2022-11-13 12:14:59,37.7723,-122.422717,37.772375,-122.422621,0.007,Incident on MARKET ST near VALENCIA ST Drive with caution.,Valencia St,San Francisco,San Francisco,CA,94103-1102,US,US/Pacific,KSFO,2022-11-13 10:56:00,57.0,57.0,47.0,30.18,10.0,N,10.0,0.0,Fair,True,False,True,False,False,False,True,False,False,False,False,True,False,Day,Day,Day,Day
A-3713995,Source1,2,2022-12-15 15:21:00,2022-12-15 17:28:46,37.81115413,-122.36399531,37.80829413,-122.36703531,0.258,Accident on San Francisco-Oakland Bay Brg W - I-80 W from Macalla Rd/Hillcrest Rd (I-80) to Treasure Island Rd (I-80).,Bay Brg,San Francisco,San Francisco,CA,94130,US,US/Pacific,KOAK,2022-12-15 14:53:00,53.0,53.0,59.0,30.14,10.0,SW,5.0,0.0,Mostly Cloudy,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day
A-3714469,Source1,2,2022-12-10 16:16:00,2022-12-10 18:39:01,37.729223,-122.403276,37.738027,-122.407922,0.659,Accident on James Lick Fwy N - US-101 N from Bacon St (US-101) to I-280/Alemany Blvd (US-101).,James Lick Fwy N,San Francisco,San Francisco,CA,94134,US,US/Pacific,KSFO,2022-12-10 15:56:00,57.0,57.0,83.0,29.66,10.0,SW,14.0,0.0,Cloudy,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day
A-3717756,Source1,2,2022-11-10 17:33:00,2022-11-10 19:44:00,37.743956,-122.405779,37.734198,-122.406302,0.675,Accident on James Lick Fwy S - US-101 S from Army St/Potrero Ave (US-101) to I-280/Alemany Blvd (US-101).,James Lick Fwy S,San Francisco,San Francisco,CA,94110,US,US/Pacific,KSFO,2022-11-10 17:56:00,53.0,53.0,83.0,30.19,10.0,W,13.0,0.0,Partly Cloudy,False,False,False,False,False,False,False,False,False,False,False,False,False,Night,Night,Day,Day
A-3719194,Source1,2,2022-12-15 08:10:00,2022-12-15 09:29:35,37.763382,-122.404377,37.762122,-122.404256,0.087,Incident on VERMONT ST near MARIPOSA ST Drive with caution.,Vermont St,San Francisco,San Francisco,CA,94107-2328,US,US/Pacific,KOAK,2022-12-15 07:53:00,42.0,42.0,82.0,30.2,10.0,SE,3.0,0.0,Mostly Cloudy,False,False,False,False,False,False,False,False,False,True,False,False,False,Day,Day,Day,Day
A-3721559,Source1,2,2022-11-05 15:27:00,2022-11-05 17:47:30,37.73323,-122.405703,37.693415,-122.39176299999998,2.855,Stationary traffic on James Lick Fwy S - US-101 S - Bayshore Fwy S from Army St/Potrero Ave (US-101) to Sierra Point Rd (US-101) due to accident.,James Lick Fwy S,San Francisco,San Francisco,CA,94134,US,US/Pacific,KSFO,2022-11-05 15:36:00,63.0,63.0,78.0,30.04,10.0,SSW,8.0,0.0,Mostly Cloudy,False,False,False,False,True,False,False,False,False,False,False,False,False,Day,Day,Day,Day
A-3722368,Source1,2,2022-12-05 02:23:00,2022-12-05 02:43:30,37.793732,-122.382558,37.807776,-122.367517,1.271,Stationary traffic on San Francisco-Oakland Bay Brg E - I-80 E from Fremont St/Harrison St (I-80) to Treasure Island Rd (I-80) due to accident.,Bay Brg,San Francisco,San Francisco,CA,94130,US,US/Pacific,KOAK,2022-12-05 01:53:00,50.0,50.0,89.0,30.05,10.0,SE,8.0,0.0,Mostly Cloudy,False,False,False,False,False,False,False,False,False,False,False,False,False,Night,Night,Night,Night
A-3722817,Source1,2,2022-12-03 12:03:00,2022-12-03 14:13:38,37.802618,-122.457465,37.802963,-122.45573799999998,0.097,Accident on US-101 S from CA-1 (San Francisco) (US-101) to Marina Blvd (US-101).,Presidio Pkwy,San Francisco,San Francisco,CA,94129,US,US/Pacific,KSFO,2022-12-03 11:56:00,49.0,47.0,90.0,29.98,2.0,ENE,6.0,0.02,Light Rain,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day
A-3723546,Source1,2,2022-12-12 07:53:00,2022-12-12 09:11:40,37.783012,-122.412422,37.782802,-122.41406,0.091,Incident on TURK ST near LEAVENWORTH ST Drive with caution.,Turk St,San Francisco,San Francisco,CA,94102-3915,US,US/Pacific,KSFO,2022-12-12 07:56:00,47.0,41.0,83.0,29.95,10.0,NNE,15.0,0.0,Mostly Cloudy,True,False,True,False,False,False,False,False,True,False,False,True,False,Day,Day,Day,Day
